,ep,mean_score_last25_ep,epsilon,ep_time,all_time_highest
309,7750,15.96,0.01,0.10806931092662196,50
310,7775,14.8,0.01,0.10824275127177836,50
311,7800,14.08,0.01,0.10836481265532664,50
312,7825,15.44,0.01,0.10859324799558986,50
313,7850,14.12,0.01,0.10870976918821881,50
314,7875,13.56,0.01,0.10882038706824892,50
315,7900,15.36,0.01,0.10902489293979693,50
316,7925,19.24,0.01,0.10929575877986872,50
317,7950,17.08,0.01,0.1096253171956764,50
318,7975,17.08,0.01,0.10988763208299596,50
319,8000,16.56,0.01,0.11002670097351074,50
320,8025,15.84,0.01,0.1101602238509514,50
321,8050,13.32,0.01,0.11024451925147394,50
322,8075,20.16,0.01,0.11047632766581911,50
323,8100,14.16,0.01,0.11065599500397105,50
324,8125,15.16,0.01,0.11079847913888785,50
325,8150,13.2,0.01,0.11088127996292582,50
326,8175,17.52,0.01,0.1111235083425446,50
327,8200,12.56,0.01,0.11129646542595655,50
328,8225,12.52,0.01,0.11133950737834339,50
329,8250,16.4,0.01,0.11151482111034972,50
330,8275,9.8,0.01,0.11161175465655832,50
331,8300,8.24,0.01,0.1119980156565287,50
332,8325,6.12,0.01,0.11247927104388629,50
333,8350,7.08,0.01,0.11326998071042363,50
334,8375,5.76,0.01,0.11374154301543735,50
335,8400,8.24,0.01,0.11384255857694717,50
336,8425,13.68,0.01,0.11401902725151809,50
337,8450,13.64,0.01,0.11417084992989986,50
338,8475,14.6,0.01,0.11439009635497686,50
339,8500,13.28,0.01,0.11448346687765683,50
340,8525,14.0,0.01,0.11460421307695226,50
341,8550,17.28,0.01,0.11480171538235849,50
342,8575,19.6,0.01,0.11502222975906061,50
343,8600,16.84,0.01,0.1152394187173178,50
344,8625,14.48,0.01,0.11543064598415209,50
345,8650,16.8,0.01,0.11565406865467226,50
346,8675,15.2,0.01,0.11577921941575811,50
347,8700,13.48,0.01,0.11586134280281506,50
348,8725,10.4,0.01,0.11615070796627712,50
349,8750,10.52,0.01,0.11628167321341379,50
350,8775,15.84,0.01,0.11668816974020411,50
351,8800,16.96,0.01,0.11688664124770598,50
352,8825,16.64,0.01,0.11707353337966012,50
353,8850,11.56,0.01,0.1171490783206487,50
354,8875,17.52,0.01,0.11731011259052115,50
355,8900,22.28,0.01,0.11757238010342201,55
356,8925,12.76,0.01,0.11771417644511419,55
357,8950,20.4,0.01,0.11795197063318177,55
